"","Species","Taxonomic_Authority","Common_Names","French_Name","Common_Family","OMNR_Code","Family_TSN","Parent_TSN","Species_TSN","Global_Rank_GRank","National_Rank_NRank","Provincial_Rank_SRank","COSEWIC_Status","SARO_Status","AFS_Status","Status_Notes","Ontario_Origin","General_Abundance","Tolerance","Economic_Importance","General_Habitats","Environment","Trophic_Class","Thermal_Regime","Habitat_Preference","Reproductive_Guild","Spawning_Habitats","Spawning_Season","Spawning_Months","Spawning_Temperature_Celsius","Fecundity","Nursery_Habitats","Adult_Length_cm","Adult_Weight_kg","Age_at_Maturity_yrs","Maximum_Length_cm","Maximum_Weight_kg","Lifespan_yrs","Species_TSN2","class_itis","order_itis","family_itis","genus_itis","species_itis"
"145","Etheostoma microperca","Jordan & Gilbert, 1888","Least Darter","petite dard","perches and darters","340","168356","168358","168411","G5 (2016-02-09)","N4 (2016-02-09)","S4 (1997-10-02)","Not at Risk (Apr 1989)","Not at Risk","none","none","native","uncommon","intolerant","none","lacustrine; riverine","benthic","invertivore","warmwater","among submergent vegetaion in clear lakes, stream marigins and pools of creeks and small rivers with soft sand, mud or organic substrates","Guarders: Substratum choosers: Phytophils","lacustrine; riverine","spring","May-June","13-18","31-1,102","lacustrine; riverine","2.5-3.8 TL","0.0001-0.0004","1","4.6 TL","0.0005","1","168411","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma microperca"
"146","Etheostoma nigrum","Rafinesque, 1820","Johnny Darter","raseux-de-terre noir","perches and darters","341","168356","168358","168369","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","tolerant","forage fish; baitfish (incidental)","lacustrine; riverine","benthic","invertivore","coolwater","sandy, silty, gravelly, sometimes rocky, pools of creeks and small to medium rivers, and sandy shores of lakes; reported to a depth of 42 m in the Great Lakes; preferred water temperature 22.8°C","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring","May-June","12-21","48-1,248","lacustrine; riverine","4.1-6.9 TL","0.0005-0.0026","1","7.7 TL","0.0047","3 (m); 4 (f)","168369","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma nigrum"
"147","Etheostoma olmstedi","Storer, 1842","Tessellated Darter","raseux-de-terre gris","perches and darters","346","168356","168358","168360","G5 (2017-04-19)","N5 (2017-04-19)","S4 (2009-04-02)","Not at Risk (Apr 1993)","Not at Risk","none","none","native","uncommon","intermediate","forage fish; baitfish (incidental)","lacustrine; riverine","benthic","invertivore","coolwater","sandy, silty pools of creeks and small to medium rivers and shores of lakes; preferred water temperature 22.8°C","Guarders: Nest spawners: Speleophils","riverine","spring","May-June","12.5-18.5","54-1,435","riverine","4.4-7.2 TL","0.0006-0.0034","1-2","10.3 TL","no data","3-4","168360","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma olmstedi"
"148","Gymnocephalus cernua","(Linnaeus, 1758)","Ruffe","grémille","perches and darters","350","168356","168519","168520","G5 (1996-09-25)","NNA (2017-12-22)","SNA (1997-10-02)","none","none","none","none","introduced","limited distribution","intermediate","invasive species","lacustrine; riverine","benthopelagic","invertivore","coolwater","lakes and lowland rivers; prefers still or slow-flowing waters over soft bottom, without vegetation","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring","April-June","6-18","6,900-200,000","lacustrine; riverine","11.4-20.3 TL","0.018-0.095","1-3 (m); 2-4 (f)","29 TL","0.4","3-7 (m); 7-11 (f)","168520","Teleostei","Perciformes","Percidae","Gymnocephalus","Gymnocephalus cernuus"
"149","Perca flavescens","(Mitchill, 1814)","Yellow Perch","perchaude","perches and darters","331","168356","168468","168469","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; commercial fishery; pan fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coolwater","lakes, ponds and pools of creeks and small to large rivers with moderate aquatic vegetation and clear water, usually at depths <9 m; preferred water temperature range 18-24°C","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring","April-May","6-12","950-210,000","lacustrine","11.4-30.5 TL","0.02-0.30","2-3 (m); 3-4 (f)","53.3 TL","1.91","7-12","168469","Teleostei","Perciformes","Percidae","Perca","Perca flavescens"
"150","Percina caprodes","(Rafinesque, 1818)","Logperch","fouille-roche zébré","perches and darters","342","168356","168471","168472","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intolerant","forage fish; bait fish (occasional)","lacustrine; riverine","benthic","invertivore","warmwater","sand, gravel or rocky beaches in lakes and over similar substrates in creeks and rivers, avoiding silted areas and swift currents; reported at depths up to 39 m in Lake Erie","Nonguarders: Brood hiders: Lithophils","lacustrine; riverine","spring","May-June","10-18","402-3,172","lacustrine; riverine","7.6-14.7 TL","0.003-0.027","1-2","18.0 TL","0.045","3-4","168472","Teleostei","Perciformes","Percidae","Percina","Percina caprodes"
"151","Percina copelandi","(Jordan, 1877)","Channel Darter","fouille-roche gris","perches and darters","343","168356","168471","168480","G4 (2011-06-19)","N2 (2017-08-21)","S11, S22, S33 (2018-04-13)","Endangered1,2, Special Concern3 (Nov 2016)","Special Concern","none","(1) Lake Erie populations; (2) Lake Ontario populations; (3) St. Lawrence populations","native","rare","intolerant","none","lacustrine; riverine","benthic","invertivore/herbivore","warmwater","pools and margins of riffles of small to medium rivers over sand or gravel substrates, and sand and gravel beaches and bars in lakes; prefers clear water and silt-free substrates","Nonguarders: Brood hiders: Lithophils","riverine","summer","June-July","14.5-25","357-830","lacustrine; riverine","3.8-6.1 TL","no data","1-2","7.2 TL","no data","3-5","168480","Teleostei","Perciformes","Percidae","Percina","Percina copelandi"
"152","Percina maculata","(Girard, 1859)","Blackside Darter","dard noir","perches and darters","344","168356","168471","168488","G5 (2015-08-17)","N5 (2017-12-22)","S4 (1997-10-08)","none","none","none","none","native/introduced","uncommon","intermediate","forage fish; baitfish (incidental)","riverine","benthic","invertivore","coolwater","quiet reaches and pools of creeks and small to medium rivers with moderate current and cobble, gravel or sand substrates, utilizing cover afforded by coarse woody debris, aquatic vegetation and undercut banks","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","16-17","121-1,758","riverine","5.1-10.2 TL","0.001-0.010","1-2","11.4 TL","0.0147","4","168488","Teleostei","Perciformes","Percidae","Percina","Percina maculata"
"153","Percina shumardi","(Girard, 1859)","River Darter","dard de rivière","perches and darters","345","168356","168471","168497","G5 (2015-08-17)","N5 (2017-12-22)","S11, S42,3 (2018-04-13)","Endangered1, Not at Risk2,3 (Apr 2016)","Endangered1, Not at Risk2,3","none","(1) Great Lakes-Upper St. Lawrence populations; (2) Saskatchewan-Nelson River populations; (3) Southern Hudson Bay-James Bay populations","native","uncommon","intermediate","baitfish (incidental)","lacustrine; riverine","benthic","invertivore","warmwater","cobble- or boulder-strewn gravel-bottomed riffles with fair to moderate current in small to large rivers and sandy channels in lakes","Nonguarders: Brood hiders: Lithophils","riverine","spring","April-June","9-12","375-1,096","riverine","4.6-7.5 TL","0.001-0.005","1-2","9.5 TL","0.0051","3-4","168497","Teleostei","Perciformes","Percidae","Percina","Percina shumardi"
"154","Sander canadensis","(Griffith & Smith, 1834)","Sauger","doré noir","perches and darters","332","168356","650162","650171","G5 (2015-08-17)","N5 (2017-12-22)","S4 (1988-11-22)","none","none","none","none","native","uncommon","intermediate","commercial fishery; sport fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coolwater","sand and gravel runs, pools and backwaters of small to large rivers, and shallow, turbid lakes; usually inhabit surface waters (<6 m); preferred water temperature range 20-24°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","spring","May-June","6-12","4,208-209,920","lacustrine; riverine","25.4-52.3 TL","0.15-1.5","2-3 (m); 4-6 (f)","81.8 TL","3.97","7-13","650171","Teleostei","Perciformes","Percidae","Sander","Sander canadensis"
"155","Sander vitreus glaucus","Hubbs, 1926","Blue Pike (blue walleye)","doré bleu","perches and darters","333","168356","650162","650173","G5TX (1996-09-25)","NX (2013-01-03)","SX (1988-11-22)","Extinct (May 2000)","Extinct","Extinct (1,2,4)","none","endemic","extinct","intolerant","commercial fishery (historical)","lacustrine","benthopelagic","invertivore/carnivore","coolwater","deep, cool, and slightly turbid waters over coarse substrates, usually below 12.2 m; preferred water temperature range 15-21°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine","spring","May","3-9","8,170","lacustrine","24.1-45.7 TL","0.1-0.8","3 (m); 4 (f)","67.1 TL","3.65","7-11","650173","Teleostei","Perciformes","Percidae","Sander","Sander vitreus"
"156","Sander vitreus","(Mitchill, 1818)","Walleye (yellow pickerel)","doré jaune","perches and darters","334","168356","650162","650173","G5 (2015-08-17)","N5 (2016-11-08)","S5 (1997-10-08)","none","none","none","none","native","common","intermediate","commercial fishery; sport fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coolwater","lakes (at depths up to 21 m), and pools, backwaters and runs of medium to large rivers; preferred water temperature range 19-23°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","spring","April-June","4-11","22,000-615,000","lacustrine; riverine","30.5-76.2 TL","0.2-4.2","3-4 (m); 4-5 (f)","106.6 TL","11.42","12-26","650173","Teleostei","Perciformes","Percidae","Sander","Sander vitreus"
"157","Aplodinotus grunniens","Rafinesque, 1819","Freshwater Drum (sheepshead)","malachigan","drums and croakers","371","169237","169363","169364","G5 (2015-08-17)","N5 (2016-02-09)","S5 (1988-11-22)","none","none","none","none","native","common","tolerant","commercial fishery; sportfish (incidental)","lacustrine; riverine","benthic","invertivore/carnivore","warmwater","sandy, silty bottoms of lakes and reservoirs (to 18 m), and pools in low to moderate-gradient, often turbid, rivers; preferred water temperature range 24-28°C","Nonguarders: Open substratum spawners: Pelagophils","lacustrine; riverine","spring-summer","May-July","18-26","27,400-850,000","lacustrine; riverine","29.2-71.0 TL","0.3-5.3","3-5 (m); 4-6 (f)","121.9 TL","27.7","21 (m); 32 (f)1</SUP","169364","Teleostei","Perciformes","Sciaenidae","Aplodinotus","Aplodinotus grunniens"
"158","Neogobius melanostomus","(Pallus, 1814)","Round Goby","gobie à tâches noires","gobies","366","171746","172067","172072","G5 (2002-09-20)","NNA (2016-05-10)","SNA (1998-11-03)","none","none","none","none","introduced","common","intermediate","invasive species","lacustrine; riverine","benthic","invertivore","coolwater","cobble, gravel and sandy substrates in the lower to middle reaches of rivers and nearshore of lakes (to 20 m); optimum water temperature range 23-26°C","Guarders: Substratum choosers: Lithophils","lacustrine; riverine","spring-summer","May-July","9-26","198-1,818","lacustrine; riverine","7.6-15.2 TL","0.006-0.050","2-3 (m); 1-2 (f)","24.6 TL","no data","4-5 (m); 3-4 (f)","172072","Teleostei","Perciformes","Gobiidae","Neogobius","Neogobius melanostomus"
"159","Proterorhinus semilunaris","(Heckel, 1837)","Freshwater Tubenose Goby","gobie à nez tubulaire","gobies","367","171746","172079","172080","GNR (2013-01-18)","NNA (2017-12-22)","SNA (1998-11-18)","none","none","none","none","introduced","rare","intermediate","invasive species","lacustrine; riverine","benthic","invertivore","coolwater","lower to middle reaches of rivers and nearshore of lakes (to 5 m) with rocky substrates or sand with vegetative cover","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring-summer","April-June","no data","379-1.024","lacustrine; riverine","4.5-7.7 TL","0.001-0.006","1-2","9.0 SL","no data","3-4","172080","Teleostei","Perciformes","Gobiidae","Proterorhinus","Proterorhinus marmoratus"
